scenario,policy,spare_nodes,ettr,availability,mttf_h,mttr_h,interruptions,waste_gpu_h,waste_dollars
independent,manual,0,0.159,0.181,3.053,13.911,42.875,9926709.925,24816774.875
independent,auto-restart,0,0.216,0.247,3.036,9.182,59.25,9244763.825,23111909.5
independent,auto-spares,0,0.216,0.247,3.036,9.182,59.25,9244763.825,23111909.5
independent,auto-spares,2,0.588,0.668,3.146,1.555,153.5,4867321.275,12168303.25
independent,auto-spares,8,0.803,0.915,3.18,0.295,208.125,2335020.775,5837552.0
independent,auto-spares,32,0.794,0.915,3.18,0.295,208.125,2473260.775,6183152.0
independent,auto-spares-ckpt,0,0.235,0.247,3.036,9.182,59.25,9021780.613,22554451.625
independent,auto-spares-ckpt,2,0.637,0.668,3.146,1.555,153.5,4285484.4,10713711.25
independent,auto-spares-ckpt,8,0.87,0.915,3.18,0.295,208.125,1545119.925,3862799.875
independent,auto-spares-ckpt,32,0.859,0.915,3.18,0.295,208.125,1683359.925,4208399.875
independent,elastic,0,0.801,0.843,2.699,0.5,226.125,2350309.6,5875774.0
rack-bursts-b16,manual,0,0.387,0.421,6.074,8.311,50.25,7231772.713,18079431.875
rack-bursts-b16,auto-restart,0,0.454,0.495,5.991,6.105,59.75,6439142.275,16097855.625
rack-bursts-b16,auto-spares,0,0.454,0.495,5.991,6.105,59.75,6439142.275,16097855.625
rack-bursts-b16,auto-spares,2,0.79,0.86,6.125,0.998,101.25,2484098.913,6210247.25
rack-bursts-b16,auto-spares,8,0.844,0.922,6.18,0.524,107.625,1844621.5,4611553.875
rack-bursts-b16,auto-spares,32,0.864,0.955,6.204,0.295,111.125,1624846.85,4062117.25
rack-bursts-b16,auto-spares-ckpt,0,0.476,0.495,5.991,6.105,59.75,6184998.55,15462496.375
rack-bursts-b16,auto-spares-ckpt,2,0.826,0.86,6.125,0.998,101.25,2050878.925,5127197.375
rack-bursts-b16,auto-spares-ckpt,8,0.883,0.922,6.18,0.524,107.625,1383218.725,3458046.875
rack-bursts-b16,auto-spares-ckpt,32,0.904,0.955,6.204,0.295,111.125,1148096.587,2870241.5
rack-bursts-b16,elastic,0,0.883,0.919,5.7,0.5,116.5,1382702.062,3456755.0
